Location name,Amount spent (JPY)
Aichi Prefecture,9567
Akita Prefecture,661
Aomori Prefecture,1136
Chiba Prefecture,9339
Ehime Prefecture,1225
Fukui Prefecture,1389
Fukuoka Prefecture,24920
Fukushima Prefecture,1821
Gifu Prefecture,2101
Gunma Prefecture,1810
Hiroshima Prefecture,2787
Hokkaido,5695
Hyōgo Prefecture,8454
Ibaraki Prefecture,3252
Ishikawa Prefecture,1631
Iwate Prefecture,1037
Kagawa Prefecture,1107
Kagoshima Prefecture,1362
Kanagawa Prefecture,19346
Kumamoto Prefecture,4286
Kyoto Prefecture,5386
Kōchi Prefecture,678
Mie Prefecture,1961
Miyagi Prefecture,7598
Miyazaki Prefecture,1168
Nagano Prefecture,2610
Nagasaki Prefecture,2567
Nara Prefecture,1940
Niigata Prefecture,2334
Okayama Prefecture,2454
Okinawa Prefecture,3587
Osaka Prefecture,13383
Saga Prefecture,2109
Saitama Prefecture,18590
Shiga Prefecture,1896
Shimane Prefecture,620
Shizuoka Prefecture,3800
Tochigi Prefecture,2045
Tokushima Prefecture,828
Tokyo,38658
Tottori Prefecture,693
Toyama Prefecture,925
Unknown,≤100
Wakayama Prefecture,1222
Yamagata Prefecture,1085
Yamaguchi Prefecture,1412
Yamanashi Prefecture,1318
Ōita Prefecture,2978
