Location name,Amount spent (RON)
Alba County,684
Arad County,862
Argeș County,1030
Bacău County,1016
Bihor County,1102
Bistrița-Năsăud County,450
Botoșani County,505
Brașov County,1369
Brăila County,549
Bucharest,5226
Buzău County,719
Caraș-Severin County,575
Cluj County,2095
Constanța County,1507
Covasna County,333
Călărași County,389
Dolj County,1074
Dâmbovița County,800
Galați County,926
Giurgiu County,356
Gorj County,755
Harghita County,536
Hunedoara County,1068
Ialomița County,369
Iași County,2228
Ilfov County,835
Maramureș County,758
Mehedinți County,434
Mureș County,1079
Neamț County,871
Olt County,518
Prahova County,1549
Satu Mare County,596
Sibiu County,780
Suceava County,1088
Sălaj County,394
Teleorman County,516
Timiș County,1712
Tulcea County,312
Unknown,≤100
Vaslui County,454
Vrancea County,551
Vâlcea County,582
