Location name,Amount spent (CLP)
Antofagasta Region,78578
Araucanía Region,124740
Arica y Parinacota Region,16246
Atacama Region,15088
Aysén Region,9577
Bío Bío Region,210864
Coquimbo Region,109175
Los Lagos Region,85290
Los Ríos Region,26392
Magallanes y la Antártica Chilena Region,15395
Maule Region,138858
O'Higgins Region,118559
Santiago Metropolitan Region,645473
Tarapacá Region,37055
Unknown,180
Valparaíso Region,159257
