Location name,Amount spent (GTQ)
Alta Verapaz Department,1214
Baja Verapaz Department,412
Chimaltenango Department,921
Chiquimula Department,541
El Progreso Department,326
Escuintla Department,1485
Guatemala Department,20968
Huehuetenango Department,1413
Izabal Department,1061
Jalapa Department,398
Jutiapa Department,654
Petén Department,753
Quetzaltenango Department,2702
Quiché Department,1015
Retalhuleu Department,682
Sacatepéquez Department,1097
San Marcos Department,3629
Santa Rosa Department,468
Sololá Department,650
Suchitepéquez Department,1208
Totonicapán Department,612
Unknown,≤100
Zacapa Department,350
