Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
345463602161853,bp,bp,5976,20
102639461303190,Fair Pay For All,Fair Pay For All,4652,134
9250349228,Greenpeace UK,Greenpeace UK,3335,27
7214031395,Oxfam Great Britain,Oxfam Great Britain,3101,54
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),2733,43
321116781287149,e.on,E.ON UK,2513,10
7715002593,UNICEF UK,Unicef UK,2272,39
311627208673,WWF UK,WWF UK,1708,36
10677003998,Shelter,Shelter,1595,163
21242962092,ClientEarth,ClientEarth,1310,19
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,1286,29
35671512696,World Animal Protection UK,World Animal Protection UK,1275,110
799576543492660,The Week Junior,The Week Junior,1187,82
121936349543,World Vision UK,World Vision UK,1117,60
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,1102,25
186622728032,RSPB,RSPB,1059,139
117476785190,Save the Children UK,Save the Children UK,937,51
7043497714,Christian Aid,Christian Aid,894,28
167898406587045,Holiday Extras,Holiday Extras,763,4
13047522725,Crimestoppers,Crimestoppers,683,105
158077247591710,Refuge,Refuge,603,35
101958682650112,ESG UK,Energy Saving Grants,583,57
220543443746,International Rescue Committee - UK,International Rescue Committee UK,582,26
177855115588808,The Week UK,The Week UK,537,25
59367068326,The Ramblers,The Ramblers,532,8
212038972186253,Transport for London,Transport for London,525,4
569834799727730,National Grid UK,National Grid UK,524,58
249209468838241,Good Law Project,Good Law Project,482,90
6233536938,War Child UK,War Child UK,471,12
7527864602,WaterAid UK,WaterAid UK,461,26
175338329150218,Help For Heroes,Help for Heroes,457,4
139695000173,Good Energy UK,Good Energy,445,131
104768005247443,Say No To WHO,Say no to WHO,417,11
208573062515662,Freedom from Torture,Freedom from Torture,407,91
490007667679401,Hugh James,Hugh James,387,4
195754307110390,Right To Life UK,Right To Life UK,378,24
116625838402686,FareShare,FareShare,377,50
7783116506,Animals Asia,Animals Asia,372,80
274651352565844,Oltco Ltd,Oltco Ltd,320,136
802671466445707,Product Earth,Product Earth,299,19
353224381469808,ifaw,IFAW,298,26
135456716565905,Guardian Jobs,Guardian Jobs,292,23
18168505158,The Woodland Trust,Woodland Trust,284,18
104677264773039,We Eat Balanced,Agriculture and Horticulture Development Board,274,26
200006375787,38 Degrees,38 Degrees,265,2
220513170893,Ripple Effect,Send a Cow,258,14
290498754454402,European Movement UK,European Movement UK,255,3
47612991154,Dignity in Dying,Dignity in Dying,242,23
246872175166,Action Against Hunger UK,Action Against Hunger UK,241,89
29976850080,Sense,Sense,237,29
137660096284927,Child Poverty Action Group (UK) - CPAG,Child Poverty Action Group,231,16
108951391565231,Help to Heat,Help to Heat,224,26
107302325751905,Gweithredu ar Hinsawdd Cymru / Climate Action Wales,Welsh Government,213,123
