Location name,Amount spent (JPY)
Aichi Prefecture,59588
Akita Prefecture,1894
Aomori Prefecture,2357
Chiba Prefecture,26410
Ehime Prefecture,2882
Fukui Prefecture,2466
Fukuoka Prefecture,54364
Fukushima Prefecture,4310
Gifu Prefecture,7535
Gunma Prefecture,5087
Hiroshima Prefecture,10494
Hokkaido,15871
Hyōgo Prefecture,19720
Ibaraki Prefecture,8326
Ishikawa Prefecture,4195
Iwate Prefecture,2657
Kagawa Prefecture,2786
Kagoshima Prefecture,3408
Kanagawa Prefecture,65932
Kumamoto Prefecture,5350
Kyoto Prefecture,17718
Kōchi Prefecture,1673
Mie Prefecture,4546
Miyagi Prefecture,15019
Miyazaki Prefecture,3085
Nagano Prefecture,7791
Nagasaki Prefecture,4939
Nara Prefecture,4366
Niigata Prefecture,5691
Okayama Prefecture,5628
Okinawa Prefecture,7837
Osaka Prefecture,91242
Saga Prefecture,3552
Saitama Prefecture,24583
Shiga Prefecture,3965
Shimane Prefecture,2745
Shizuoka Prefecture,12563
Tochigi Prefecture,5076
Tokushima Prefecture,1732
Tokyo,153170
Tottori Prefecture,1274
Toyama Prefecture,3113
Unknown,≤100
Wakayama Prefecture,2301
Yamagata Prefecture,4376
Yamaguchi Prefecture,3464
Yamanashi Prefecture,2952
Ōita Prefecture,4356
