Location name,Amount spent (CLP)
Antofagasta Region,58798
Araucanía Region,113144
Arica y Parinacota Region,36275
Atacama Region,21633
Aysén Region,13349
Bío Bío Region,164441
Coquimbo Region,80940
Los Lagos Region,120347
Los Ríos Region,32769
Magallanes y la Antártica Chilena Region,38332
Maule Region,101054
O'Higgins Region,78635
Santiago Metropolitan Region,687223
Tarapacá Region,32375
Unknown,≤100
Valparaíso Region,153955
