Location name,Amount spent (EUR)
Alsace,609
Aquitaine,1185
Auvergne,383
Basse-Normandie,414
Bourgogne,457
Bretagne,1072
Centre,710
Champagne-Ardenne,400
Corse,180
Franche-Comté,333
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,592
Languedoc-Roussillon,1065
Limousin,204
Lorraine,730
Martinique,119
Mayotte,≤100
Midi-Pyrénées,955
New Caledonia,≤100
Nord-Pas-de-Calais,1341
Pays de la Loire,1314
Picardie,623
Poitou-Charentes,546
Provence-Alpes-Côte d'Azur,2242
Reunion Island,210
Rhône-Alpes,2142
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4512
