Location name,Amount spent (GTQ)
Alta Verapaz Department,1031
Baja Verapaz Department,126
Chimaltenango Department,605
Chiquimula Department,721
El Progreso Department,135
Escuintla Department,558
Guatemala Department,9560
Huehuetenango Department,1399
Izabal Department,330
Jalapa Department,175
Jutiapa Department,298
Petén Department,243
Quetzaltenango Department,1341
Quiché Department,1137
Retalhuleu Department,259
Sacatepéquez Department,587
San Marcos Department,994
Santa Rosa Department,265
Sololá Department,453
Suchitepéquez Department,1113
Totonicapán Department,469
Unknown,≤100
Zacapa Department,196
