Location name,Amount spent (CLP)
Antofagasta Region,81303
Araucanía Region,69403
Arica y Parinacota Region,26110
Atacama Region,26480
Aysén Region,11005
Bío Bío Region,169694
Coquimbo Region,100585
Los Lagos Region,70629
Los Ríos Region,24912
Magallanes y la Antártica Chilena Region,13221
Maule Region,88353
O'Higgins Region,92737
Santiago Metropolitan Region,825778
Tarapacá Region,33551
Unknown,≤100
Valparaíso Region,177518
