Location name,Amount spent (ZAR)
Eastern Cape,453
Free State,420
Gauteng,1484
KwaZulu-Natal,883
Limpopo,547
Mpumalanga,262
North West,184
Northern Cape,≤100
Unknown,≤100
Western Cape,890
