Location name,Amount spent (GTQ)
Alta Verapaz Department,976
Baja Verapaz Department,371
Chimaltenango Department,1133
Chiquimula Department,711
El Progreso Department,374
Escuintla Department,1694
Guatemala Department,23283
Huehuetenango Department,2332
Izabal Department,1773
Jalapa Department,861
Jutiapa Department,1183
Petén Department,901
Quetzaltenango Department,2507
Quiché Department,1689
Retalhuleu Department,717
Sacatepéquez Department,1367
San Marcos Department,3606
Santa Rosa Department,1174
Sololá Department,731
Suchitepéquez Department,939
Totonicapán Department,676
Unknown,≤100
Zacapa Department,2155
