Location name,Amount spent (TRY)
Adana Province,2245
Adıyaman Province,603
Afyonkarahisar Province,687
Aksaray Province,181
Amasya Province,≤100
Ankara Province,1626
Antalya Province,683
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,498
Ağrı Province,≤100
Balıkesir Province,701
Bartın Province,≤100
Batman Province,650
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,228
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,733
Denizli Province,396
Diyarbakır Province,1996
Düzce Province,154
Edirne Province,442
Elazığ Province,691
Erzincan Province,≤100
Erzurum Province,250
Eskişehir Province,409
Gaziantep Province,414
Giresun Province,124
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,563
Isparta Province,122
Istanbul Province,10150
Iğdır Province,≤100
Kahramanmaraş Province,241
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,307
Kilis Province,≤100
Kocaeli Province,259
Konya Province,444
Kütahya Province,154
Kırklareli Province,276
Kırıkkale Province,≤100
Kırşehir Province,205
Malatya Province,1044
Manisa Province,525
Mardin Province,744
Mersin Province,580
Muğla Province,226
Muş Province,198
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,190
Osmaniye Province,375
Rize Province,≤100
Sakarya Province,323
Samsun Province,498
Siirt Province,224
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,1114
Tokat Province,104
Trabzon Province,265
Tunceli Province,≤100
Unknown,≤100
Uşak Province,109
Van Province,≤100
Yalova Province,≤100
Yozgat Province,118
Zonguldak Province,1604
Çanakkale Province,387
Çankırı Province,≤100
Çorum Province,132
İzmir Province,1244
Şanlıurfa Province,736
Şırnak Province,≤100
