Location name,Amount spent (TRY)
Adana Province,928
Adıyaman Province,278
Afyonkarahisar Province,151
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,1728
Antalya Province,937
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,490
Ağrı Province,≤100
Balıkesir Province,717
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,466
Bolu Province,≤100
Burdur Province,355
Bursa Province,1083
Denizli Province,288
Diyarbakır Province,143
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,279
Gaziantep Province,1271
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,469
Isparta Province,138
Istanbul Province,7937
Iğdır Province,≤100
Kahramanmaraş Province,285
Karabük Province,≤100
Karaman Province,171
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,964
Kilis Province,117
Kocaeli Province,819
Konya Province,644
Kütahya Province,107
Kırklareli Province,≤100
Kırıkkale Province,622
Kırşehir Province,110
Malatya Province,210
Manisa Province,1235
Mardin Province,≤100
Mersin Province,1025
Muğla Province,520
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,156
Osmaniye Province,210
Rize Province,≤100
Sakarya Province,183
Samsun Province,270
Siirt Province,≤100
Sinop Province,136
Sivas Province,1095
Tekirdağ Province,210
Tokat Province,400
Trabzon Province,167
Tunceli Province,≤100
Unknown,≤100
Uşak Province,1094
Van Province,≤100
Yalova Province,≤100
Yozgat Province,105
Zonguldak Province,174
Çanakkale Province,≤100
Çankırı Province,≤100
Çorum Province,157
İzmir Province,1778
Şanlıurfa Province,2240
Şırnak Province,≤100
