Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
1486050808304738,Ray White International -  Dubai,These ads ran without a disclaimer,476,6
103084629229632,Scanner Doc,These ads ran without a disclaimer,≤100,1
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,3
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100,1
115637490346169,Djecko official جيكو الفرنسيسو,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
274394006605216,History A2Z Magazine,These ads ran without a disclaimer,≤100,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,1
105741532048451,Fluffy Worldwide,These ads ran without a disclaimer,≤100,4
121307931254043,Econlib,These ads ran without a disclaimer,≤100,1
