Location name,Amount spent (COP)
Amazonas,993
Antioquia,2245200
Arauca,13924
Atlantico,699717
Bolivar,275828
Boyaca,60198
Caldas,74718
Caqueta,38453
Casanare,83471
Cauca,183145
Cesar,101144
Choco,19723
Cordoba,64446
Cundinamarca,400414
Distrito Especial,1669276
Guainia,675
Guaviare,4398
Huila,197270
La Guajira,77606
Magdalena,238365
Meta,147529
Narino,75808
Norte de Santander,298663
Putumayo,38749
Quindio,83778
Risaralda,669654
San Andres y Providencia,4220
Santander,242694
Sucre,85247
Tolima,159156
Unknown,≤100
Valle del Cauca,1846739
Vaupes,427
Vichada,409
