Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
421574011322217,Alcaldía del Distrito Central,Alcaldía del Distrito Central,731,2
104599735671754,Goberna Honduras,Goberna Honduras,309,11
114601521910,Jorge Aldana,Jorge  Aldana,262,1
491553204198958,Revistazo.com,Revistazo.com,222,2
100400739620398,COVI Honduras,These ads ran without a disclaimer,174,1
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,164,1
486382251906084,Honduras El Pais,Diario El  Pais.hn,161,4
459107311130639,Dr. Luther Harry,Dr. Luther Harry,120,1
130202453827085,Asociacion Calidad de Vida,Asociación Calidad de Vida,107,6
36402799393,Protección Animal Mundial,These ads ran without a disclaimer,≤100,1
102153471654987,La vida en una historia.,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,2
102527209215235,Viviane Olívia,These ads ran without a disclaimer,≤100,3
120460525135389,Educational Partners International,These ads ran without a disclaimer,≤100,1
563065237146155,Latindadd,These ads ran without a disclaimer,≤100,1
1722520228078847,Female Invest,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
385385178182941,SIGNUS Ecovalor,These ads ran without a disclaimer,≤100,1
