Location name,Amount spent (JPY)
Aichi Prefecture,26340
Akita Prefecture,1703
Aomori Prefecture,2537
Chiba Prefecture,23091
Ehime Prefecture,3295
Fukui Prefecture,1986
Fukuoka Prefecture,45700
Fukushima Prefecture,4101
Gifu Prefecture,4761
Gunma Prefecture,12030
Hiroshima Prefecture,9418
Hokkaido,16317
Hyōgo Prefecture,17973
Ibaraki Prefecture,6553
Ishikawa Prefecture,3806
Iwate Prefecture,2382
Kagawa Prefecture,3082
Kagoshima Prefecture,3366
Kanagawa Prefecture,47052
Kumamoto Prefecture,6590
Kyoto Prefecture,12081
Kōchi Prefecture,1273
Mie Prefecture,6493
Miyagi Prefecture,11972
Miyazaki Prefecture,2143
Nagano Prefecture,4482
Nagasaki Prefecture,3917
Nara Prefecture,3669
Niigata Prefecture,4562
Okayama Prefecture,5464
Okinawa Prefecture,4848
Osaka Prefecture,40331
Saga Prefecture,3510
Saitama Prefecture,22986
Shiga Prefecture,4692
Shimane Prefecture,1636
Shizuoka Prefecture,10041
Tochigi Prefecture,4799
Tokushima Prefecture,1675
Tokyo,78716
Tottori Prefecture,1071
Toyama Prefecture,2252
Unknown,≤100
Wakayama Prefecture,2488
Yamagata Prefecture,2063
Yamaguchi Prefecture,2720
Yamanashi Prefecture,3912
Ōita Prefecture,4886
