Location name,Amount spent (SEK)
Blekinge County,3305
Dalarna County,6070
Gotland County,1797
Gävleborg County,6063
Halland County,6704
Jämtland County,2933
Jönköping County,7276
Kalmar County,5449
Kronoberg County,3671
Norrbotten County,4947
Skåne County,27397
Stockholm County,57130
Södermanland County,6193
Unknown,≤100
Uppsala County,8089
Värmland County,5675
Västerbotten County,5162
Västernorrland County,4917
Västmanland County,5334
Västra Götaland County,37322
Örebro County,6572
Östergötland County,9164
