Location name,Amount spent (RON)
Alba County,560
Arad County,683
Argeș County,1598
Bacău County,962
Bihor County,607
Bistrița-Năsăud County,374
Botoșani County,602
Brașov County,1148
Brăila County,435
Bucharest,3838
Buzău County,488
Caraș-Severin County,286
Cluj County,887
Constanța County,924
Covasna County,270
Călărași County,348
Dolj County,1563
Dâmbovița County,1412
Galați County,691
Giurgiu County,224
Gorj County,578
Harghita County,497
Hunedoara County,450
Ialomița County,538
Iași County,1091
Ilfov County,565
Maramureș County,697
Mehedinți County,260
Mureș County,837
Neamț County,708
Olt County,902
Prahova County,1107
Satu Mare County,521
Sibiu County,517
Suceava County,1071
Sălaj County,252
Teleorman County,311
Timiș County,858
Tulcea County,199
Unknown,≤100
Vaslui County,421
Vrancea County,438
Vâlcea County,825
