Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
103704155350118,Gates Foundation India,The Bill & Melinda Gates Foundation,176827,6
294493857651676,Rahul Gandhi,Indian National Congress,166570,49
54779960819,United Nations,United Nations with Facebook Ad Credits,161207,11
68793499001,UNICEF,UNICEF with Facebook Ad Credits,132146,5
278423842321236,BJP Rajasthan,BJP Rajasthan,94877,66
105671775473178,Jan Suraaj,Jan Suraaj,43210,55
2078242259060363,Kukufm,Mohana Saha,37341,92
351616078284404,Indian National Congress,Indian National Congress,37129,6
107395897271506,Kutumb,Swatantra Verma,29235,44
168694379812269,Astroyogi,These ads ran without a disclaimer,25821,3
112293334871512,Bharat Jodo,Indian National Congress,25107,2
2078242259060363,Kukufm,These ads ran without a disclaimer,23535,1
21169267101,Give,Give,22944,14
187668288312583,Otrivin,Haleon India,21670,4
281561438704679,Deakin University South Asia,These ads ran without a disclaimer,14570,2
1488581191158902,Conscious Planet,Isha outreach,13711,2
30290552843,Greenpeace India,Greenpeace India Society,12734,66
104516512296314,Kartik Sharma,Adv Tech,12651,20
109354741887336,Udhay Anna - உதய் அண்ணா,Politicode,10899,28
109888271582555,Be The Change For TB,Johnson & Johnson India Private Limited,8826,7
106353715613486,श्री वल्लभ विहार,Aashish Patel,8196,24
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,8012,36
875420125855408,Dhanraj Vispute,Siddigital,7763,2
138866599478119,Taiwan Excellence,These ads ran without a disclaimer,7732,1
2073183832762291,Meri Neta - Priyanka Gandhi,Jitender Kumar Bhardwaj,7178,2
109986065209042,Mera Apna Rahul,Mera Apna Rahul,6879,43
1947296068903392,Vinay Saxena,Manish Soni,6558,6
107459365376999,Sandeep Singh,Artemedia,6199,1
347337386104390,Rama Chandra Yadav,B Ramachandra,5900,4
108859771892572,Ek dhoko Kejriwalne - એક ધોકો કેજરીવાલને,Paltu Express,5861,1
1521106071438318,CMO Chhattisgarh,SHREERAM ADVERTISING AND MARKETING,5760,2
1987488401557504,Mahathugbandhan - महाठगबंधन,Mahathugbandhan - महाठगबंधन,5726,20
103782051383159,School of Politics,School of Politics,5704,28
132480390432415,Jindal Stainless Solutions,Chariot Media,5567,1
113541631336757,Conman Conrad,Conman Conrad,5146,12
20386543316,WWF-India,Mukesh Nauhwar,4930,1
109707661884154,Indian Compass,theindiancompass.com,4916,16
108366798238330,Haryana Affordable Housing Scheme,Arpit Mittal,4845,2
1418673848396428,H D Kumaraswamy,Pancharatnayojane,4810,3
287683225711,UN Environment Programme,These ads ran without a disclaimer,4723,1
564555960375146,Bhavya Multimedia Services,Mahesh Raut,4678,4
108923581963430,Nirmamata,nirmamata.com,4517,112
102099855874205,40% ಸರ್ಕಾರ,40percentsarkara,4390,40
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,4271,38
109983085044398,Rohith Meneni,Meneni Rohith Rao,4149,2
101713962007976,Amrit Mahotsav,Amrit Mahotsav,4130,2
265195530302394,Balasaheb Thorat,Inspire,4082,20
165714096933078,Piyush Goyal,Piyush Goyal,3939,2
1433894153522813,Pramod Bhaya,Sharad Sharma,3928,30
105815225595031,मोदी साथे राजस्थान,modisaatherajasthan.com,3808,55
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,3664,12
109485930750665,Agni Herbbals,C Rajivkannu,3556,7
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,3495,5
1203697573031051,RK Imo Singh,Rajkumar Imo Singh,3481,2
878507758895759,Narendra Kumar,Aatmnirbhar Sena,3427,2
100110012911465,Prasadraj Kanchan,Prasadraj Kanchan,3303,2
537021156329658,Sukhbir Singh Jaunapuria,Pankaj Sharma,3299,2
129216587669203,Pilot Rohith Reddy,Rohith Panjugula,3159,6
466642616726169,Parul University,Parul University,3156,6
447540119348781,Gali Somasekhara Reddy,Venkatesh Hari Krishna,3104,14
265992950099792,Panchjanya,Bharat Prakashan (Delhi) Limited,3096,2
109772347318584,Khotikarok Modi,Khotikarok Modi,2948,3
100848838931597,Tikam singh Ranawat,Kamlesh Kumar,2927,4
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,2921,14
106872862164966,Jan Suraaj Padyatra,Jan Suraaj Padyatra,2897,2
604601406569422,"Shree Gurudev Marketing,Nagpur Shree balaji Marketing kirti Garments ,Tumsa",Pavankumar Ghanshyam Malewar,2866,63
100196004828444,North Eastern Council,Sourabh Arvind Dubey,2864,16
109400273976649,Baat Bihar Ki,Baat Bihar Ki,2818,9
113534787991473,তেইশে আবার বিজেপি সরকার,TeisheAbarBJPSarkaar.com,2777,16
108102345201383,Pappu Gappu - पप्पू गप्पू,PappuGappu.com,2671,20
101660868074292,Mahesh thakoor Bjp Udupi,Vijay S,2535,4
1510631479236816,Hawa Badlo,social cloud ventures Pvt Ltd,2505,3
105865998933066,Nurul Huda,Mehbub Ahmed Laskar,2491,10
