Location name,Amount spent (PKR)
Azad Kashmir,1530
Balochistan,3276
Federally Administered Tribal Areas,390
Gilgit-Baltistan,898
Islamabad Capital Territory,3177
Khyber Pakhtunkhwa,16141
Punjab,46874
Sindh,25156
Unknown,≤100
