Location name,Amount spent (TRY)
Adana Province,607
Adıyaman Province,≤100
Afyonkarahisar Province,412
Aksaray Province,637
Amasya Province,≤100
Ankara Province,2154
Antalya Province,1065
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,294
Ağrı Province,≤100
Balıkesir Province,477
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,988
Denizli Province,510
Diyarbakır Province,150
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,296
Erzurum Province,101
Eskişehir Province,321
Gaziantep Province,1519
Giresun Province,135
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,365
Isparta Province,157
Istanbul Province,12986
Iğdır Province,≤100
Kahramanmaraş Province,194
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,1107
Kayseri Province,344
Kilis Province,≤100
Kocaeli Province,324
Konya Province,644
Kütahya Province,155
Kırklareli Province,≤100
Kırıkkale Province,141
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,426
Mardin Province,≤100
Mersin Province,2050
Muğla Province,541
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,125
Ordu Province,170
Osmaniye Province,127
Rize Province,132
Sakarya Province,113
Samsun Province,501
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,122
Tekirdağ Province,185
Tokat Province,103
Trabzon Province,324
Tunceli Province,≤100
Unknown,≤100
Uşak Province,209
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,117
Çanakkale Province,374
Çankırı Province,537
Çorum Province,107
İzmir Province,1995
Şanlıurfa Province,233
Şırnak Province,≤100
