Location name,Amount spent (VND)
An Giang Province,67679
Bà Rịa–Vũng Tàu Province,118160
Bình Dương Province,372243
Bình Phước Province,109470
Bình Thuận Province,108366
Bình Định Province,96341
Bạc Liêu Province,22089
Bắc Giang Province,848169
Bắc Kạn Province,93481
Bắc Ninh Province,641519
Bến Tre Province,53650
Cao Bằng Province,109002
Cà Mau Province,57976
Cần Thơ,66821
Da Nang,127185
Gia Lai Province,131459
Haiphong,742812
Ho Chi Minh City,898687
Hà Giang Province,168927
Hà Nam Province,261157
Hà Tĩnh Province,257297
Hòa Bình Province,254691
Hưng Yên Province,377764
Hải Dương Province,672867
Hậu Giang Province,12020
Khánh Hòa Province,116092
Kiên Giang Province,75436
Kon Tum Province,65529
Lai Châu Province,71433
Long An Province,104406
Lào Cai Province,291511
Lâm Đồng Province,149109
Lạng Sơn Province,248577
Nam Định Province,365609
Nghệ An Province,701212
Ninh Bình Province,274510
Ninh Thuận Province,29110
Phú Thọ Province,440359
Phú Yên Province,65539
Quảng Bình Province,167066
Quảng Nam Province,111087
Quảng Ngãi Province,101369
Quảng Ninh Province,489717
Quảng Trị Province,72001
Sóc Trăng Province,35768
Sơn La Province,326853
Thanh Hóa Province,1079304
Thái Bình Province,433233
Thái Nguyên Province,555284
Thừa Thiên–Huế Province,72865
Tiền Giang Province,84555
Trà Vinh Province,39905
Tuyên Quang Province,258738
Tây Ninh Province,99819
Vĩnh Long Province,42506
Vĩnh Phúc Province,471765
Yên Bái Province,264924
Điện Biên Province,181857
Đắk Lắk Province,189172
Đắk Nông Province,88655
Đồng Nai Province,374400
Đồng Tháp Province,58804
