Location name,Amount spent (TWD)
Changhua,7122
Chiayi,1851
Hsinchu,3727
Hsinchu City,6128
Hualien,3285
Kaohsiung,22546
Keelung City,3341
Kinmen,514
Lienchiang,≤100
Miaoli,3149
Nantou,3444
New Taipei City,38791
Penghu,568
Pingtung,4781
Taichung,26493
Tainan,16646
Taipei,30842
Taitung,1896
Taoyuan City,25213
Unknown,3321
Yilan,2630
Yunlin,4369
