Location name,Amount spent (HUF)
Baranya County,88686
Borsod-Abaúj-Zemplén County,121817
Budapest,858945
Bács-Kiskun County,104056
Békés County,71082
Csongrád County,98309
Fejér County,101364
Győr-Moson-Sopron County,109949
Hajdú-Bihar County,139188
Heves County,68334
Jász-Nagykun-Szolnok County,68935
Komárom-Esztergom County,77218
Nógrád County,34244
Pest County,259601
Somogy County,66270
Szabolcs-Szatmár-Bereg County,93228
Tolna County,50011
Unknown,≤100
Vas County,62515
Veszprém County,70770
Zala County,61441
