Location name,Amount spent (GTQ)
Alta Verapaz Department,830
Baja Verapaz Department,283
Chimaltenango Department,1048
Chiquimula Department,516
El Progreso Department,247
Escuintla Department,1680
Guatemala Department,17684
Huehuetenango Department,1498
Izabal Department,1134
Jalapa Department,372
Jutiapa Department,661
Petén Department,510
Quetzaltenango Department,2291
Quiché Department,1059
Retalhuleu Department,650
Sacatepéquez Department,946
San Marcos Department,3315
Santa Rosa Department,389
Sololá Department,580
Suchitepéquez Department,984
Totonicapán Department,546
Unknown,≤100
Zacapa Department,330
