Location name,Amount spent (PLN)
Greater Poland Voivodeship,3577
Kuyavian-Pomeranian Voivodeship,1868
Lesser Poland Voivodeship,3228
Lower Silesian Voivodeship,2737
Lublin Voivodeship,1681
Lubusz Voivodeship,833
Masovian Voivodeship,8745
Opole Voivodeship,794
Podkarpackie Voivodeship,1430
Podlaskie Voivodeship,860
Pomeranian Voivodeship,2780
Silesian Voivodeship,3597
Unknown,≤100
Warmian-Masurian Voivodeship,1134
West Pomeranian Voivodeship,1511
Łódź Voivodeship,2379
Świętokrzyskie Voivodeship,952
