Location name,Amount spent (UYU)
Artigas Department,153
Canelones Department,659
Cerro Largo Department,157
Colonia Department,209
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,3741
Montevideo Department,4369
Paysandú Department,176
Rivera Department,496
Rocha Department,101
Río Negro Department,≤100
Salto Department,288
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,156
Treinta y Tres Department,≤100
Unknown,≤100
