Location name,Amount spent (PKR)
Azad Kashmir,1274
Balochistan,2406
Federally Administered Tribal Areas,432
Gilgit-Baltistan,802
Islamabad Capital Territory,3129
Khyber Pakhtunkhwa,10553
Punjab,55862
Sindh,17711
Unknown,≤100
