Location name,Amount spent (SEK)
Blekinge County,2700
Dalarna County,5296
Gotland County,1348
Gävleborg County,5556
Halland County,5700
Jämtland County,2551
Jönköping County,6404
Kalmar County,4144
Kronoberg County,3200
Norrbotten County,5548
Skåne County,26024
Stockholm County,54008
Södermanland County,5497
Unknown,≤100
Uppsala County,7985
Värmland County,4830
Västerbotten County,5158
Västernorrland County,5061
Västmanland County,5204
Västra Götaland County,33975
Örebro County,5501
Östergötland County,8954
