Location name,Amount spent (TND)
Ariana Governorate,134
Ben Arous Governorate,194
Bizerte Governorate,165
Béja Governorate,≤100
Gabès Governorate,160
Gafsa Governorate,123
Jendouba Governorate,109
Kairouan Governorate,136
Kasserine Governorate,≤100
Kebili Governorate,≤100
Kef Governorate,≤100
Mahdia Governorate,120
Manouba Governorate,≤100
Medenine Governorate,209
Monastir Governorate,260
Nabeul Governorate,362
Sfax,271
Sidi Bouzid Governorate,≤100
Siliana Governorate,≤100
Sousse Governorate,254
Tataouine Governorate,≤100
Tozeur Governorate,≤100
Tunis Governorate,596
Zaghouan Governorate,≤100
