Location name,Amount spent (DKK)
Capital Region of Denmark,41839
Central Denmark Region,22435
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8797
Region of Southern Denmark,18000
Unknown,≤100
Zealand Region,11870
