Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,217
Apurímac Region,≤100
Arequipa Region,360
Ayacucho Region,160
Cajamarca Region,268
Callao,107
Cusco Region,315
Huancavelica Region,≤100
Huánuco Region,124
Ica Region,169
Junín Region,246
La Libertad Region,378
Lambayeque Region,202
Lima Region,2021
Loreto Region,136
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,273
Puno Region,320
San Martín Region,174
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,107
