Location name,Amount spent (USD)
Alabama,8517
Alaska,2455
American Samoa,≤100
Arizona,18921
Arkansas,5110
California,63708
Colorado,8889
Connecticut,7190
Delaware,1658
Florida,41868
Georgia,16986
Guam,≤100
Hawaii,1635
Idaho,6159
Illinois,30523
Indiana,16108
Iowa,5473
Kansas,6633
Kentucky,8770
Louisiana,7938
Maine,4827
Maryland,12488
Massachusetts,10661
Michigan,26628
Minnesota,17351
Mississippi,5398
Missouri,12597
Montana,3174
Nebraska,3022
Nevada,8012
New Hampshire,2671
New Jersey,15718
New Mexico,3796
New York,38765
North Carolina,19911
North Dakota,1148
Northern Mariana Islands,≤100
Ohio,18799
Oklahoma,9698
Oregon,8189
Pennsylvania,27374
Puerto Rico,≤100
Rhode Island,1438
South Carolina,8872
South Dakota,1472
Tennessee,11849
Texas,50916
Unknown,≤100
Utah,4885
Vermont,1476
Virgin Islands (U.S.),≤100
Virginia,21379
Washington,12657
"Washington, District of Columbia",8580
West Virginia,3907
Wisconsin,22742
Wyoming,1216
