Location name,Amount spent (USD)
Adjumani District,≤100
Arua District,≤100
Bukwo District,≤100
Gulu District,≤100
Isingiro District,≤100
Jinja District,≤100
Kabarole District,≤100
Kampala District,≤100
Kasese District,≤100
Kiboga District,≤100
Koboko District,≤100
Kyenjojo District,≤100
Lira District,≤100
Luwero District,≤100
Manafwa District,≤100
Masaka District,≤100
Masindi District,≤100
Mbale District,≤100
Mbarara District,≤100
Mityana District,≤100
Mubende District,≤100
Mukono District,≤100
Nakaseke District,≤100
Nakasongola District,≤100
Soroti District,≤100
Wakiso District,≤100
Yumbe District,≤100
