Location name,Amount spent (AUD)
Australian Capital Territory,1398
Jervis Bay Territory,≤100
New South Wales,69978
Norfolk Island,≤100
Northern Territory,625
Queensland,11604
South Australia,4322
Tasmania,1839
Unknown,≤100
Victoria,15412
Western Australia,5844
