Location name,Amount spent (HUF)
Baranya County,155718
Borsod-Abaúj-Zemplén County,233718
Budapest,948307
Bács-Kiskun County,210780
Békés County,133463
Csongrád County,194924
Fejér County,178398
Győr-Moson-Sopron County,198957
Hajdú-Bihar County,204466
Heves County,127138
Jász-Nagykun-Szolnok County,147091
Komárom-Esztergom County,128697
Nógrád County,67853
Pest County,487171
Somogy County,116267
Szabolcs-Szatmár-Bereg County,197941
Tolna County,93976
Unknown,208
Vas County,114480
Veszprém County,133897
Zala County,120093
