Location name,Amount spent (GTQ)
Alta Verapaz Department,739
Baja Verapaz Department,249
Chimaltenango Department,865
Chiquimula Department,478
El Progreso Department,249
Escuintla Department,1232
Guatemala Department,12930
Huehuetenango Department,982
Izabal Department,754
Jalapa Department,481
Jutiapa Department,524
Petén Department,452
Quetzaltenango Department,1864
Quiché Department,786
Retalhuleu Department,382
Sacatepéquez Department,747
San Marcos Department,2243
Santa Rosa Department,396
Sololá Department,596
Suchitepéquez Department,695
Totonicapán Department,483
Unknown,≤100
Zacapa Department,340
