Location name,Amount spent (DKK)
Capital Region of Denmark,60182
Central Denmark Region,45340
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,16113
Region of Southern Denmark,35193
Unknown,≤100
Zealand Region,22899
