Location name,Amount spent (ISK)
Capital Region,37800
Eastern Region,3726
Northeastern Region,3086
Northwestern Region,671
Southern Peninsula,2657
Southern Region,5375
Unknown,≤100
Western Region,654
Westfjords,2011
