Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
186832971410181,Kvenréttindafélag Íslands,These ads ran without a disclaimer,24484,2
111020791969904,Vísbending,Sameinaða útgáfufélagið,9344,5
737169626371453,Heimildin,Stundin,7339,3
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Foreldrasamtök gegn áfengisauglýsingum,5099,3
1518790851708164,Samtök fyrirtækja í sjávarútvegi,SFS - Samtök fyrirtækja í sjávarútvegi,3086,2
202802126448131,Samfylkingarfélagið í Reykjavík,Samfylkingarfélagið í Reykjavík,2103,1
573559522797177,Flokkur fólksins,Flokkur Fólksins,1232,1
114057194960942,Samstöðin: Fréttir,Samstöðin ehf,1151,1
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið,977,2
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,929,1
317158175535179,BitLife,These ads ran without a disclaimer,281,3
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,278,1
154893001218870,ADHD samtökin,ADHD samtökin,156,1
118339071290748,EuroToday,These ads ran without a disclaimer,≤100,2
104118352676122,박필규,These ads ran without a disclaimer,≤100,1
124340177284061,TomorrowBuilding,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,1
187766727949541,Deportivo Alavés,These ads ran without a disclaimer,≤100,1
213332108707636,TradeBeyond,These ads ran without a disclaimer,≤100,1
111132794348779,That Happened,These ads ran without a disclaimer,≤100,1
