Location name,Amount spent (COP)
Amazonas,1478
Antioquia,8017467
Arauca,17304
Atlantico,843556
Bolivar,212617
Boyaca,435425
Caldas,807334
Caqueta,91613
Casanare,268839
Cauca,231456
Cesar,71357
Choco,22770
Cordoba,379266
Cundinamarca,673471
Distrito Especial,4337413
Guainia,819
Guaviare,16220
Huila,335091
La Guajira,38949
Magdalena,310098
Meta,323641
Narino,101573
Norte de Santander,357316
Putumayo,66871
Quindio,96265
Risaralda,1272447
San Andres y Providencia,60787
Santander,332246
Sucre,168077
Tolima,198181
Unknown,383
Valle del Cauca,2846218
Vaupes,260
Vichada,478
