Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
689157954518219,Danielle Smith,United Conservative Party,3768,4
163336718421,PSAC - AFPC,PSAC - AFPC,3435,58
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,3415,48
102828041144081,Here For Students,Ontario Secondary School Teachers' Federation (OSSTF),2908,8
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,2189,13
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,2123,156
439345863190331,Brad Bradford,Brad Bradford Campaign,2000,23
102533697778225,Earth Day Canada,Jour de la Terre Canada,1996,10
405377872902754,Canada Action,Canada Action,1828,74
169928686425623,UFCW Local 401,UFCW Local 401,1681,20
115835521825983,UNHCR Canada,UNHCR Canada,1333,91
154462904588700,Enbridge Gas,Enbridge Gas,1183,84
6319213302,Heart & Stroke,Heart & Stroke,1168,1
270323369737229,Elections Alberta,Elections Alberta,1107,14
108635379686,CNIB,CNIB,979,28
376006035816016,Storyworth,These ads ran without a disclaimer,905,13
117109432079,CAMH Foundation,CAMH Foundation,888,85
167800183238142,YourAlberta (Government of Alberta),Government of Alberta,874,15
104386908631938,Pathways Alliance,Pathways Alliance,868,8
2130035313905321,Miranda Rosin,Miranda Rosin,864,24
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,737,44
167577709932867,Fédération des professionnelles et  professionnels de l'éducation FPPE,Fédération des professionnelles et  professionnels de l'éducation FPPE,735,10
269577048182,Stollery Children's Hospital Foundation,Stollery Children's Hospital Foundation,666,104
201940626493639,Jour de la Terre Canada,Jour de la Terre Canada,662,8
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,631,59
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,604,11
261752512263,Canadian Red Cross,Canadian Red Cross,546,4
283487578481273,Énergir,Énergir,545,10
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,511,12
235872037238940,She Is Indigenous,Les Femmes Michif Otipemisiwak / Women of the Métis Nation,509,137
1065217483613421,Anthony Lacavera,Anthony Lacavera,508,1
372498358268,Manitoba NDP Caucus,Manitoba NDP Caucus,507,10
177004795666755,Manitoba Government,Manitoba Government,506,14
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,504,53
1456690611311640,Canadian Health Coalition,Canadian Health Coalition,489,19
1876748445895294,Canadians for Affordable Energy,Canadians for Affordable Energy,486,9
200480966638039,Supremacy 1914,These ads ran without a disclaimer,485,2
281999881613,World Vision Canada,World Vision Canada,483,4
182645321760265,Ville de Montréal,Ville de Montréal,472,4
510183342342621,Bell MTS,Lavanya Rajaian,429,4
31912359596,University of Saskatchewan,University of Saskatchewan,413,47
114849617772737,Care2 Canada,Press Pause Collective,409,17
181701075182303,Crohn's and Colitis Canada,Crohn's and Colitis Canada,402,35
336963316348550,Ucore Rare Metals Inc.,Ucore Rare Metals Inc.,400,1
1097840090260804,National Police Federation,National Police Federation,369,101
121818350969,AUPE - Alberta Union of Provincial Employees,Alberta Union of Provincial Employees,364,18
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),These ads ran without a disclaimer,363,12
256967407720183,LEO,Léger,330,31
160136850711053,CUPE Ontario,CUPE Ontario,326,29
107385241806,Plan International Canada,Plan International Canada,324,26
633812813408377,Elections Canada,Elections Canada,321,12
106917558391358,Alliance Nouvelles voies,Pathways Alliance,319,4
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,307,13
177741812241442,SCFP-Québec,le SCFP,300,13
19750184960,Greenpeace Canada,Greenpeace Canada,290,181
35715544220,Stand.earth,Stand.earth,289,22
7522587804,Green Party of Ontario,Green Party of Ontario,285,7
106231507615280,Delivering Community Power - Vers des collectivités durables,Canadian Union of Postal Workers,268,8
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,259,122
143249880633,World Animal Protection Canada,World Animal Protection Canada,237,20
180862678644381,Ontario NDP,Ontario NDP,236,9
159713615718,WWF-Canada,WWF-Canada,235,30
203485052997041,Hospital Employees' Union,Hospital Employees' Union,230,8
639491102750080,Government of Newfoundland and Labrador,Government of Newfoundland and Labrador,227,24
625254780822339,CUPE Manitoba,CUPE MB,209,4
