Location name,Amount spent (INR)
Andaman and Nicobar Islands,220
Andhra Pradesh,91512
Arunachal Pradesh,2219
Assam,15208
Bihar,62341
Chandigarh,2363
Chhattisgarh,30447
Dadra and Nagar Haveli,758
Delhi,83601
Goa,1620
Gujarat,50669
Haryana,54222
Himachal Pradesh,13649
Jammu and Kashmir,8129
Jharkhand,15499
Karnataka,234296
Kerala,12872
Lakshadweep,≤100
Madhya Pradesh,75004
Maharashtra,192871
Manipur,1637
Meghalaya,3791
Mizoram,738
Nagaland,2956
Odisha,13687
Puducherry,973
Punjab region,26505
Rajasthan,118712
Sikkim,660
Tamil Nadu,30515
Telangana,46516
Tripura,3365
Unknown,≤100
Uttar Pradesh,115524
Uttarakhand,11688
West Bengal,39157
