Location name,Amount spent (HUF)
Baranya County,135642
Borsod-Abaúj-Zemplén County,160505
Budapest,766326
Bács-Kiskun County,130172
Békés County,83709
Csongrád County,181029
Fejér County,138880
Győr-Moson-Sopron County,131998
Hajdú-Bihar County,134222
Heves County,88801
Jász-Nagykun-Szolnok County,110573
Komárom-Esztergom County,101712
Nógrád County,46191
Pest County,308072
Somogy County,82945
Szabolcs-Szatmár-Bereg County,115047
Tolna County,60459
Unknown,191
Vas County,75838
Veszprém County,95060
Zala County,90481
