Location name,Amount spent (NOK)
Akershus,3992
Aust-Agder,603
Buskerud,1579
Finnmark,399
Hedmark,1129
Hordaland,3608
Møre og Romsdal,1899
Nord-Trøndelag,818
Nordland,1412
Oppland,1038
Oslo,7078
Rogaland,3019
Sogn og Fjordane,640
Sør-Trøndelag,2230
Telemark,1412
Troms,1069
Unknown,≤100
Vest-Agder,1289
Vestfold,2302
Østfold,1600
