Location name,Amount spent (CZK)
Central Bohemian Region,14842
Hradec Králové Region,6415
Karlovy Vary Region,3775
Liberec Region,4999
Moravian-Silesian Region,12795
Olomouc Region,7085
Pardubice Region,5411
Plzeň Region,6777
Prague,29454
South Bohemian Region,7094
South Moravian Region,17806
Unknown,≤100
Vysočina Region,5266
Zlín Region,6470
Ústí nad Labem Region,9370
