Location name,Amount spent (PYG)
Alto Paraguay Department,5401
Alto Paraná Department,94175
Amambay Department,4745
Asunción,258494
Boquerón department,6778
Caaguazú Department,103913
Caazapá Department,5749
Canindeyú Department,7626
Central Department,1097335
Concepción Department (Paraguay),10412
Cordillera Department,21261
Guairá Department,14033
Itapúa Department,28315
Misiones Department,109559
Paraguarí Department,16093
Presidente Hayes Department,10291
San Pedro Department,15230
Unknown,≤100
Ñeembucú Department,57696
