Location name,Amount spent (HUF)
Baranya County,104395
Borsod-Abaúj-Zemplén County,128998
Budapest,543458
Bács-Kiskun County,105216
Békés County,73464
Csongrád County,104340
Fejér County,89551
Győr-Moson-Sopron County,95675
Hajdú-Bihar County,201005
Heves County,63632
Jász-Nagykun-Szolnok County,76523
Komárom-Esztergom County,63851
Nógrád County,39143
Pest County,239198
Somogy County,58636
Szabolcs-Szatmár-Bereg County,104422
Tolna County,47571
Unknown,≤100
Vas County,56662
Veszprém County,71041
Zala County,61277
