Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
159639460764792,LATAM Airlines,LATAM Airlines,661349,2
231350380299380,Las Últimas Noticias (LUN),Las Últimas Noticias (LUN),397643,6
103527991214141,Cero DICOM,Cero Dicom,194515,8
228557190541436,BancoEstado,BancoEstado,137000,26
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,130936,4
105513119231933,Sur Informativo,Sur Informativo,101880,6
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,100698,13
1548643738480723,Asistencia Deudores,Asistencia Deudores,97041,2
580663538777736,Consejo Minero,Feedback Comunicaciones,95568,4
105798328215264,Asistencia Familia,Asistencia Familia,87499,6
256214294989170,DaleProfe,daleProfe,72653,62
386423238164424,Enel Chile,Enel Chile,59311,1
108834425593018,Mujer Siembra Seguro,Mujer Siembra Seguro,52713,22
1409821842658101,Merlín Research,Merlín Research,48331,1
386634201382499,Marco Enriquez-Ominami,Marco Enríquez-Ominami,40905,5
106037731330237,CentroAvance,Centro Avance,40883,5
100975964813324,No+desempleo,No más Desempleo,40314,6
756450494522524,Andrés Jouannet Diputado,Andrés Jouannet,40082,6
110835964029132,Var Constitucional,Var Constitucional,31883,13
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,30344,20
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,30000,1
120295334652273,Enrique Van Rysselberghe Herrera,Enrique Van Rysselberghe Herrera,27414,16
558224964238853,Anglo American,Anglo American,25777,1
2241627812774263,Felipe Cruz - Concejal de Recoleta,Felipe Cruz - Concejal de Recoleta,25626,2
632687896928177,Oscar Crisóstomo,Oscar Crisóstomo,24872,11
1544524942457436,Iván Flores García,Iván Flores García,24324,3
337766483715142,Tremendas_cl,TREMENDAS with Facebook ad credits,21323,3
26929188652,El Observatodo,MiVoz.cl,19865,44
922533087852291,Luis Malla Diputado,Luis Malla Diputado,19698,2
103463095024719,Curiocity,Curiocíty,19544,2
248421278648620,Mario Vilches Alcaíno,Mario Vilches Alcaíno,17722,6
391338058160314,Desafío Chile Sin Basura,Asesorías y Servicios Kyklos SpA,17327,6
184559421980613,Vlado Mirosevic,Vlado Mirosevic,16490,5
104699082662164,Aseguro mi futuro,Aseguro mi futuro,15507,12
