Location name,Amount spent (RON)
Alba County,574
Arad County,642
Argeș County,1343
Bacău County,1047
Bihor County,959
Bistrița-Năsăud County,401
Botoșani County,519
Brașov County,833
Brăila County,445
Bucharest,8122
Buzău County,610
Caraș-Severin County,356
Cluj County,1408
Constanța County,1039
Covasna County,258
Călărași County,295
Dolj County,943
Dâmbovița County,568
Galați County,770
Giurgiu County,250
Gorj County,589
Harghita County,544
Hunedoara County,522
Ialomița County,261
Iași County,1777
Ilfov County,1677
Maramureș County,703
Mehedinți County,300
Mureș County,719
Neamț County,1296
Olt County,421
Prahova County,976
Satu Mare County,426
Sibiu County,531
Suceava County,830
Sălaj County,248
Teleorman County,329
Timiș County,1200
Tulcea County,276
Unknown,≤100
Vaslui County,401
Vrancea County,952
Vâlcea County,450
