Location name,Amount spent (EUR)
Alsace,687
Aquitaine,1553
Auvergne,450
Basse-Normandie,474
Bourgogne,541
Bretagne,1141
Centre,869
Champagne-Ardenne,477
Corse,155
Franche-Comté,356
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,671
Languedoc-Roussillon,1415
Limousin,278
Lorraine,903
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1211
New Caledonia,≤100
Nord-Pas-de-Calais,1646
Pays de la Loire,1217
Picardie,707
Poitou-Charentes,724
Provence-Alpes-Côte d'Azur,2504
Reunion Island,≤100
Rhône-Alpes,3035
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4262
