Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,143
Apurímac Region,≤100
Arequipa Region,167
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,308
Cusco Region,≤100
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,117
Junín Region,≤100
La Libertad Region,232
Lambayeque Region,127
Lima Region,1663
Loreto Region,344
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,171
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
