Location name,Amount spent (VEF)
Amazonas,77495
Anzoátegui,2496104
Apure,527464
Aragua,1566996
Barinas,1000000
Bolívar (state),1750000
Capital District,2649249
Carabobo,2082974
Cojedes,399963
Delta Amacuro,122494
Falcón,1316996
Guárico,637454
Lara,1624336
Miranda (state),994922
Monagas,654948
Mérida,1316996
Nueva Esparta,499939
Portuguesa,1119389
Sucre,624948
Trujillo,812423
Táchira,2766738
Unknown,≤100
Vargas,319982
Yaracuy,802412
Zulia,4456128
