Location name,Amount spent (ISK)
Capital Region,28476
Eastern Region,1132
Northeastern Region,3353
Northwestern Region,606
Southern Peninsula,2041
Southern Region,2622
Unknown,≤100
Western Region,1802
Westfjords,559
