Location name,Amount spent (KES)
Central Province,148
Coast Province,1917
Eastern Province,1495
Nairobi,749
North Eastern Province,≤100
Nyanza Province,≤100
Rift Valley Province,196
Unknown,≤100
Western Province,≤100
