Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,105
Baghdad Governorate,526
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,132
Erbil Governorate,400
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,166
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,129
Nineveh Governorate,217
Saladin Governorate,≤100
Sulaymaniyah Governorate,381
Unknown,≤100
Wasit Governorate,≤100
