Location name,Amount spent (MXN)
Aguascalientes,5571
Baja California,21476
Baja California Sur,3763
Campeche,5623
Chiapas,10824
Chihuahua,24479
Coahuila de Zaragoza,28685
Colima,13064
Distrito Federal,72237
Durango,4715
Guanajuato,48512
Guerrero,7538
Hidalgo,7827
Jalisco,112313
Michoacán de Ocampo,17930
Morelos,13638
Nayarit,3145
Nuevo León,28601
Oaxaca,9402
Puebla,20105
Querétaro Arteaga,17933
Quintana Roo,10894
San Luis Potosi,8606
Sinaloa,7816
Sonora,15221
State of Mexico,90384
Tabasco,7042
Tamaulipas,24328
Tlaxcala,3195
Unknown,≤100
Veracruz,19890
Yucatán,33659
Zacatecas,3742
