Location name,Amount spent (HUF)
Baranya County,116898
Borsod-Abaúj-Zemplén County,187634
Budapest,700161
Bács-Kiskun County,167342
Békés County,108950
Csongrád County,158016
Fejér County,141210
Győr-Moson-Sopron County,155797
Hajdú-Bihar County,157693
Heves County,114492
Jász-Nagykun-Szolnok County,195867
Komárom-Esztergom County,96464
Nógrád County,53404
Pest County,406153
Somogy County,93141
Szabolcs-Szatmár-Bereg County,154619
Tolna County,72211
Unknown,≤100
Vas County,85567
Veszprém County,111255
Zala County,89833
