Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,583
Bangkok,7590
Bueng Kan,≤100
Buriram,218
Chachoengsao,159
Chai Nat,≤100
Chaiyaphum,149
Chanthaburi,123
Chiang Mai,377
Chiang Rai,358
Chon Buri,415
Chumphon,279
Kalasin,160
Kamphaeng Phet,104
Kanchanaburi,206
Khon Kaen,502
Krabi,280
Lampang,132
Lamphun,≤100
Loei,≤100
Lop Buri,129
Mae Hong Son,≤100
Maha Sarakham,213
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,301
Nakhon Phanom,≤100
Nakhon Ratchasima,447
Nakhon Sawan,189
Nakhon Si Thammarat,1958
Nan,≤100
Narathiwat,112
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,483
Pathum Thani,543
Pattani,128
Phangnga,136
Phatthalung,259
Phayao,≤100
Phetchabun,126
Phetchaburi,830
Phichit,167
Phitsanulok,1324
Phrae,≤100
Phuket,206
Prachin Buri,114
Prachuap Khiri Khan,491
Ranong,106
Ratchaburi,248
Rayong,211
Roi Et,347
Sa Kaeo,≤100
Sakon Nakhon,182
Samut Prakan,298
Samut Sakhon,510
Samut Songkhram,≤100
Saraburi,135
Satun,≤100
Sing Buri,≤100
Sisaket,213
Songkhla,1093
Sukhothai,106
Suphan Buri,150
Surat Thani,4800
Surin,205
Tak,129
Trang,324
Trat,≤100
Ubon Ratchathani,340
Udon Thani,238
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,131
Yasothon,257
