Location name,Amount spent (CAD)
Alberta,13240
British Columbia,19558
Manitoba,3596
New Brunswick,2848
Newfoundland and Labrador,1223
Northwest Territories,155
Nova Scotia,1520
Nunavut,154
Ontario,26985
Prince Edward Island,1038
Quebec,25690
Saskatchewan,2228
Unknown,≤100
Yukon,154
