Location name,Amount spent (PYG)
Alto Paraguay Department,27238
Alto Paraná Department,310782
Amambay Department,47150
Asunción,321543
Boquerón department,82167
Caaguazú Department,139496
Caazapá Department,104268
Canindeyú Department,60973
Central Department,834299
Concepción Department (Paraguay),65395
Cordillera Department,94291
Guairá Department,48997
Itapúa Department,145762
Misiones Department,52445
Paraguarí Department,57338
Presidente Hayes Department,30465
San Pedro Department,115037
Unknown,≤100
Ñeembucú Department,56144
