Location name,Amount spent (JMD)
Saint Andrew Parish,≤100
Saint Ann Parish,≤100
Saint Catherine Parish,≤100
Saint Elizabeth Parish,≤100
Saint Thomas Parish,≤100
Westmoreland Parish,≤100
